pub_date	title	venue	excerpt	citation	url_slug	paper_url

2022-04-15	Informative knowledge distillation for image anomaly segmentation	Knowledge-based Systems	Anomaly segmentation	Yunkang, Cao. (2022). "Informative knowledge distillation for image anomaly segmentation" <i>Knowledge-based Systems</i>. 1(3).	Informative-knowledge-distillation-for-image-anomaly-segmentation	http://academicpages.github.io/files/paper3.pdf
2022-04-15	Semi-supervised Knowledge Distillation for Tiny Defect Detection	Knowledge-based Systems	Anomaly segmentation	Yunkang, Cao. (2022). "Informative knowledge distillation for image anomaly segmentation" <i>Knowledge-based Systems</i>. 1(3).	Informative-knowledge-distillation-for-image-anomaly-segmentation	http://academicpages.github.io/files/paper3.pdf
